order_id,order_date,country,category,product,quantity,unit_price,revenue,payment_method,status
ORD-100001,2025-10-01,United States,Apparel,Running Shoes,1,95.00,95.00,paypal,completed
ORD-100002,2025-10-01,Canada,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100003,2025-10-01,France,Apparel,Wool Sweater,1,70.00,70.00,card,completed
ORD-100004,2025-10-01,France,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100005,2025-10-01,United States,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100006,2025-10-01,United Kingdom,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100007,2025-10-01,United Kingdom,Apparel,Wool Sweater,1,70.00,70.00,apple_pay,completed
ORD-100008,2025-10-01,Romania,Electronics,Smart Watch,1,199.00,199.00,bnpl,completed
ORD-100009,2025-10-01,Canada,Home,Desk Lamp,1,35.00,35.00,card,completed
ORD-100010,2025-10-02,France,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100011,2025-10-02,Romania,Electronics,Bluetooth Speaker,1,59.00,59.00,bnpl,completed
ORD-100012,2025-10-02,United States,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100013,2025-10-02,United States,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100014,2025-10-02,France,Electronics,Smart Watch,1,199.00,199.00,card,completed
ORD-100015,2025-10-03,United Kingdom,Apparel,Rain Jacket,1,120.00,120.00,bnpl,completed
ORD-100016,2025-10-03,United States,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100017,2025-10-03,France,Home,Air Purifier,3,149.00,447.00,card,completed
ORD-100018,2025-10-03,Canada,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100019,2025-10-03,France,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100020,2025-10-03,Romania,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100021,2025-10-03,Canada,Apparel,Running Shoes,1,95.00,95.00,paypal,completed
ORD-100022,2025-10-03,Poland,Apparel,Running Shoes,1,95.00,95.00,card,completed
ORD-100023,2025-10-04,Canada,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100024,2025-10-04,United States,Apparel,Running Shoes,3,95.00,285.00,card,completed
ORD-100025,2025-10-04,France,Beauty,Face Serum,1,32.00,32.00,apple_pay,completed
ORD-100026,2025-10-04,United States,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100027,2025-10-04,France,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100028,2025-10-04,United States,Apparel,Wool Sweater,1,70.00,70.00,card,completed
ORD-100029,2025-10-05,United States,Electronics,USB-C Hub,1,39.00,39.00,card,completed
ORD-100030,2025-10-05,United States,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100031,2025-10-05,United States,Apparel,Rain Jacket,1,120.00,120.00,card,completed
ORD-100032,2025-10-05,France,Beauty,Face Serum,1,32.00,32.00,paypal,completed
ORD-100033,2025-10-05,United States,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100034,2025-10-06,Germany,Beauty,Face Serum,1,32.00,32.00,bnpl,completed
ORD-100035,2025-10-06,Spain,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100036,2025-10-06,United Kingdom,Electronics,Bluetooth Speaker,1,59.00,59.00,card,completed
ORD-100037,2025-10-06,Poland,Home,Air Purifier,3,149.00,447.00,bnpl,completed
ORD-100038,2025-10-07,Germany,Electronics,Smart Watch,3,199.00,597.00,card,completed
ORD-100039,2025-10-07,Poland,Electronics,Bluetooth Speaker,1,59.00,59.00,apple_pay,completed
ORD-100040,2025-10-07,Spain,Electronics,Smart Watch,1,199.00,199.00,card,completed
ORD-100041,2025-10-07,United Kingdom,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100042,2025-10-07,France,Apparel,Rain Jacket,2,120.00,240.00,card,completed
ORD-100043,2025-10-07,United States,Home,Air Purifier,1,149.00,149.00,card,completed
ORD-100044,2025-10-07,Spain,Electronics,Wireless Earbuds,1,79.00,79.00,card,completed
ORD-100045,2025-10-07,Spain,Beauty,Face Serum,1,32.00,32.00,card,completed
ORD-100046,2025-10-07,Romania,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100047,2025-10-08,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100048,2025-10-08,United States,Apparel,Wool Sweater,1,70.00,70.00,paypal,completed
ORD-100049,2025-10-08,Germany,Home,Coffee Grinder,1,49.00,49.00,card,completed
ORD-100050,2025-10-08,United States,Beauty,Hair Dryer,1,89.00,89.00,card,completed
ORD-100051,2025-10-08,Germany,Electronics,Smart Watch,1,199.00,199.00,apple_pay,completed
ORD-100052,2025-10-08,United States,Electronics,USB-C Hub,1,39.00,39.00,bnpl,completed
