invoice_id,customer_id,invoice_date,plan,billing_cycle,mrr,amount,currency,payment_method,status,country
INV-5001,CUS-0020,2025-10-02,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Canada
INV-5002,CUS-0037,2025-10-02,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5003,CUS-0053,2025-10-02,Business,annual,299.00,2978.04,USD,card,paid,Germany
INV-5004,CUS-0057,2025-10-02,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5005,CUS-0070,2025-10-02,Starter,annual,29.00,288.84,USD,card,paid,United States
INV-5006,CUS-0073,2025-10-02,Pro,annual,99.00,986.04,USD,sepa_debit,paid,United States
INV-5007,CUS-0074,2025-10-02,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5008,CUS-0076,2025-10-02,Pro,monthly,99.00,99.00,USD,card,refunded,Poland
INV-5009,CUS-0077,2025-10-02,Business,annual,299.00,2978.04,USD,invoice,refunded,United States
INV-5010,CUS-0078,2025-10-02,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5011,CUS-0081,2025-10-02,Starter,annual,29.00,288.84,USD,card,failed,Canada
INV-5012,CUS-0093,2025-10-02,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5013,CUS-0102,2025-10-02,Starter,annual,29.00,288.84,USD,sepa_debit,paid,United States
INV-5014,CUS-0111,2025-10-02,Starter,monthly,29.00,29.00,USD,card,failed,United States
INV-5015,CUS-0137,2025-10-02,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5016,CUS-0139,2025-10-02,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5017,CUS-0141,2025-10-02,Pro,monthly,99.00,99.00,USD,card,failed,Germany
INV-5018,CUS-0156,2025-10-02,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5019,CUS-0185,2025-10-02,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5020,CUS-0195,2025-10-02,Starter,annual,29.00,288.84,USD,card,paid,United States
INV-5021,CUS-0196,2025-10-02,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5022,CUS-0223,2025-10-02,Pro,monthly,99.00,99.00,USD,card,paid,Canada
INV-5023,CUS-0229,2025-10-02,Starter,monthly,29.00,29.00,USD,invoice,paid,Poland
INV-5024,CUS-0014,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5025,CUS-0018,2025-11-11,Pro,monthly,99.00,99.00,USD,invoice,paid,United States
INV-5026,CUS-0020,2025-11-11,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Canada
INV-5027,CUS-0026,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,France
INV-5028,CUS-0030,2025-11-11,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United Kingdom
INV-5029,CUS-0037,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5030,CUS-0042,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5031,CUS-0057,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,United Kingdom
INV-5032,CUS-0065,2025-11-11,Pro,monthly,99.00,99.00,USD,sepa_debit,failed,United States
INV-5033,CUS-0074,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5034,CUS-0076,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,Poland
INV-5035,CUS-0078,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5036,CUS-0080,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5037,CUS-0089,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5038,CUS-0093,2025-11-11,Starter,monthly,29.00,29.00,USD,card,failed,United States
INV-5039,CUS-0104,2025-11-11,Pro,monthly,99.00,99.00,USD,card,failed,Germany
INV-5040,CUS-0111,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5041,CUS-0112,2025-11-11,Pro,annual,99.00,986.04,USD,invoice,paid,Germany
INV-5042,CUS-0115,2025-11-11,Business,annual,299.00,2978.04,USD,sepa_debit,paid,Germany
INV-5043,CUS-0120,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,United States
INV-5044,CUS-0123,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,Romania
INV-5045,CUS-0129,2025-11-11,Starter,monthly,29.00,29.00,USD,card,refunded,United States
INV-5046,CUS-0134,2025-11-11,Starter,annual,29.00,288.84,USD,card,paid,United States
INV-5047,CUS-0137,2025-11-11,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5048,CUS-0138,2025-11-11,Business,monthly,299.00,299.00,USD,card,failed,United Kingdom
INV-5049,CUS-0139,2025-11-11,Starter,monthly,29.00,29.00,USD,card,refunded,United States
INV-5050,CUS-0140,2025-11-11,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Poland
INV-5051,CUS-0141,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5052,CUS-0143,2025-11-11,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,United Kingdom
INV-5053,CUS-0146,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5054,CUS-0147,2025-11-11,Pro,annual,99.00,986.04,USD,card,paid,Poland
INV-5055,CUS-0156,2025-11-11,Business,monthly,299.00,299.00,USD,card,paid,Germany
INV-5056,CUS-0162,2025-11-11,Starter,annual,29.00,288.84,USD,card,paid,France
INV-5057,CUS-0175,2025-11-11,Pro,monthly,99.00,99.00,USD,invoice,paid,Germany
INV-5058,CUS-0178,2025-11-11,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Germany
INV-5059,CUS-0181,2025-11-11,Business,monthly,299.00,299.00,USD,sepa_debit,paid,Canada
INV-5060,CUS-0182,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,Germany
INV-5061,CUS-0185,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,Romania
INV-5062,CUS-0196,2025-11-11,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5063,CUS-0198,2025-11-11,Pro,annual,99.00,986.04,USD,card,paid,United States
INV-5064,CUS-0201,2025-11-11,Starter,monthly,29.00,29.00,USD,card,paid,Spain
INV-5065,CUS-0212,2025-11-11,Starter,annual,29.00,288.84,USD,card,failed,United Kingdom
INV-5066,CUS-0216,2025-11-11,Business,annual,299.00,2978.04,USD,card,paid,United Kingdom
INV-5067,CUS-0223,2025-11-11,Pro,monthly,99.00,99.00,USD,card,failed,Canada
INV-5068,CUS-0229,2025-11-11,Starter,monthly,29.00,29.00,USD,invoice,paid,Poland
INV-5069,CUS-0230,2025-11-11,Pro,annual,99.00,986.04,USD,sepa_debit,failed,France
INV-5070,CUS-0233,2025-11-11,Starter,monthly,29.00,29.00,USD,sepa_debit,paid,Canada
INV-5071,CUS-0236,2025-11-11,Starter,annual,29.00,288.84,USD,card,refunded,Poland
INV-5072,CUS-0004,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5073,CUS-0014,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,United Kingdom
INV-5074,CUS-0015,2025-12-03,Starter,monthly,29.00,29.00,USD,card,failed,United Kingdom
INV-5075,CUS-0018,2025-12-03,Pro,monthly,99.00,99.00,USD,invoice,paid,United States
INV-5076,CUS-0020,2025-12-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,Canada
INV-5077,CUS-0026,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,France
INV-5078,CUS-0027,2025-12-03,Starter,annual,29.00,288.84,USD,card,failed,United States
INV-5079,CUS-0030,2025-12-03,Pro,monthly,99.00,99.00,USD,sepa_debit,paid,United Kingdom
INV-5080,CUS-0034,2025-12-03,Starter,annual,29.00,288.84,USD,card,paid,United States
INV-5081,CUS-0035,2025-12-03,Pro,monthly,99.00,99.00,USD,card,paid,United States
INV-5082,CUS-0037,2025-12-03,Starter,monthly,29.00,29.00,USD,card,paid,Romania
